"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 451 200 1.71478568403095 7.77706486497995 1.43213286132429 1.10952025175623 1.54163286642349 1.51316178487547 1.52741288471901 1.53194173464016 0.0157014004990978 0.0152685726982158 0.0212546297525975 0.0201571892028903 0.0178083642159382 0.0216396805622059 1.27186074219279 1.79182891839931 1.30370556804643 1.85571911702541
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 446 200 1.74821646736915 7.51265757885862 1.35944358828376 1.07490288684486 1.44936674055558 1.42285483303165 1.46936169794839 1.4714014693656 0.0161927612932604 0.0158209329401454 0.0190020498315206 0.0180486186879927 0.0211598216986064 0.0208110368916977 1.21351653016706 1.79772178981183 1.22399654860365 1.77067146839398
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 485 200 1.44297347987521 9.27509935159394 1.61122288185048 1.29189723590545 1.70161109792042 1.69278024122816 1.73379847989902 1.74056939703279 0.0133600185379019 0.0133228957857444 0.0149819559207713 0.0145739147327324 0.0165183423460085 0.0169849733416999 1.49865785398846 2.00047245799791 1.48599514631197 1.97280951392364
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 471 200 1.6354740259452 7.9559974068508 1.32283862761349 1.01149771383293 1.39486484228155 1.37497093648682 1.40653283799813 1.39524500651923 0.0156794298153269 0.0152732245356387 0.0201501339441105 0.019262888271118 0.0191452051975434 0.0232197036552395 1.14256279837127 1.65937685360361 1.14516345148968 1.70375543812602
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 430 200 1.78267256754052 7.93133664680738 1.59964369734154 1.21103951541645 1.7648176397961 1.73395572127267 1.8136215097043 1.84033865102063 0.0175045412131021 0.0169567740806225 0.0248354121586513 0.0231767286965088 0.023329115629637 0.0260858653336537 1.56461896045227 2.14007054049639 1.56226213685047 2.19005342615738
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 470 200 1.77256723787873 7.82847158038317 1.57294650027686 1.24152989866952 1.69879435999197 1.658440821606 1.65178281767282 1.67898799541587 0.0162896278615095 0.0158499488463042 0.0195240264460287 0.0177217962243711 0.0219844890518049 0.0242676894745333 1.41287211015965 1.96056599555291 1.42269523429686 2.03451296967904
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 453 200 1.77290884649668 7.18530158449896 1.5880547345376 1.25358526619807 1.72709397949703 1.69993336489471 1.75654556842271 1.75932970851361 0.0145864225698849 0.0141797147327731 0.0212887925032228 0.020012878865002 0.0243103113652132 0.0218268713023306 1.49437378550207 2.0810222342788 1.49979916202805 2.06607525446742
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 457 200 1.7406244137371 7.55100073994457 1.33680687713074 0.990162466878789 1.45499281719751 1.42911887066429 1.47356888448137 1.48365372477061 0.0160672965603544 0.0155407635957624 0.0172315032095833 0.0163389696938355 0.0173056904904579 0.0218079274862178 1.23460497236742 1.74680449916426 1.20782110778856 1.77951032842336
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 477 200 1.74841405660095 7.41350212221984 1.57420896981269 1.20884596482652 1.6706594987215 1.63471911753438 1.65050026676555 1.6566247373817 0.0144321323027355 0.0140994457219727 0.0166025158767407 0.0156327640487656 0.0162652328701567 0.0147761617301931 1.41728492703911 1.89675301552465 1.4389659365938 1.91673323935261
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 10 469 200 1.89318250367771 6.8315881832615 1.44020705139828 1.08023425292275 1.5828995153703 1.57469806632419 1.67133416318947 1.662986662012 0.0170337174873081 0.016308037855749 0.0220012017839884 0.0215924756937948 0.0239690192779015 0.0303267079708229 1.39093475654266 1.95016048830575 1.35853062884603 2.02578409900148
